Compound,Formula,Adduct,m/z,z
,,(no adduct),504.2953,4
,,(no adduct),515.879,5
,,(no adduct),545.5205,4
,,(no adduct),559.9862,3
,,(no adduct),583.6937,5
,,(no adduct),588.3458,4
,,(no adduct),591.5452,4
,,(no adduct),598.8202,4
,,(no adduct),620.6909,3
,,(no adduct),626.0954,5
,,(no adduct),638.8531,4
,,(no adduct),640.0454,4
,,(no adduct),640.6219,4
,,(no adduct),644.5967,4
,,(no adduct),653.553,4
,,(no adduct),654.3409,5
,,(no adduct),660.3314,4
,,(no adduct),662.9153,5
,,(no adduct),668.3975,3
,,(no adduct),672.0563,3
,,(no adduct),677.7178,3
,,(no adduct),679.0087,3
,,(no adduct),682.0598,3
,,(no adduct),701.7145,5
,,(no adduct),719.0986,3
,,(no adduct),720.1572,4
,,(no adduct),722.7584,3
,,(no adduct),726.1026,4
,,(no adduct),727.0245,3
,,(no adduct),727.0261,3
,,(no adduct),727.8725,4
,,(no adduct),729.0847,3
,,(no adduct),729.1041,3
,,(no adduct),729.3598,4
,,(no adduct),732.8812,4
,,(no adduct),733.3784,4
,,(no adduct),736.7233,3
,,(no adduct),737.0295,3
,,(no adduct),737.0305,3
,,(no adduct),746.2057,6
,,(no adduct),746.7292,3
,,(no adduct),758.1571,4
,,(no adduct),758.7656,5
,,(no adduct),762.5692,5
,,(no adduct),768.7268,3
,,(no adduct),770.5642,5
,,(no adduct),775.742,3
,,(no adduct),779.7653,3
,,(no adduct),780.4666,3
,,(no adduct),784.1265,3
,,(no adduct),788.392,3
,,(no adduct),789.871,4
,,(no adduct),793.7511,3
,,(no adduct),795.9185,4
,,(no adduct),798.0918,3
,,(no adduct),802.9242,4
,,(no adduct),817.6758,4
,,(no adduct),820.1133,3
,,(no adduct),823.8901,4
,,(no adduct),827.0972,3
,,(no adduct),827.6541,4
,,(no adduct),828.3886,4
,,(no adduct),830.0909,3
,,(no adduct),831.1294,3
,,(no adduct),831.4624,3
,,(no adduct),834.9256,4
,,(no adduct),835.4334,3
,,(no adduct),837.1039,3
,,(no adduct),839.092,3
,,(no adduct),844.4666,4
,,(no adduct),844.4681,3
,,(no adduct),848.1319,3
,,(no adduct),851.3937,5
,,(no adduct),851.4656,3
,,(no adduct),853.0593,3
,,(no adduct),859.1285,3
,,(no adduct),861.4751,3
,,(no adduct),863.1408,3
,,(no adduct),864.9393,4
,,(no adduct),865.1581,4
,,(no adduct),869.6198,4
,,(no adduct),871.0695,3
,,(no adduct),878.4451,4
,,(no adduct),880.1063,3
,,(no adduct),880.7673,3
,,(no adduct),888.4642,3
,,(no adduct),895.2438,5
,,(no adduct),904.4992,4
,,(no adduct),909.9463,4
,,(no adduct),912.8334,3
,,(no adduct),920.6381,5
,,(no adduct),920.9864,4
,,(no adduct),944.6751,4
,,(no adduct),948.2039,4
,,(no adduct),952.9639,4
,,(no adduct),952.9653,4
,,(no adduct),953.128,3
,,(no adduct),959.8795,3
,,(no adduct),962.9536,4
,,(no adduct),963.8749,3
,,(no adduct),967.8006,3
,,(no adduct),967.8023,3
,,(no adduct),969.9697,4
,,(no adduct),977.5023,3
,,(no adduct),1000.1624,3
,,(no adduct),1000.4749,4
,,(no adduct),1004.505,3
,,(no adduct),1008.1937,3
,,(no adduct),1010.5385,3
,,(no adduct),1016.136,3
,,(no adduct),1022.0069,4
,,(no adduct),1036.2959,6
,,(no adduct),1045.522,4
,,(no adduct),1048.5873,3
,,(no adduct),1058.8724,3
,,(no adduct),1059.0317,4
,,(no adduct),1059.4723,3
,,(no adduct),1067.8743,3
,,(no adduct),1069.1693,3
,,(no adduct),1070.2324,3
,,(no adduct),1091.8134,4
,,(no adduct),1101.2515,3
,,(no adduct),1104.1845,3
,,(no adduct),1111.5355,3
,,(no adduct),1121.2802,4
,,(no adduct),1127.9788,3
,,(no adduct),1129.5436,3
,,(no adduct),1150.5482,4
,,(no adduct),1152.915,3
,,(no adduct),1156.889,3
,,(no adduct),1159.5457,3
,,(no adduct),1168.8545,3
,,(no adduct),1175.7652,4
,,(no adduct),1181.5753,4
,,(no adduct),1217.2882,3
,,(no adduct),1219.0658,4
,,(no adduct),1243.3557,5
,,(no adduct),1283.6001,3
,,(no adduct),1348.6537,4
,,(no adduct),1385.059,5
,,(no adduct),1437.668,3
,,(no adduct),1494.7039,3
