Checked,File ID,RT [min],First Scan,Mass Analyzer,Activation Type,MS Order,# PSMs,Best PSM Ambiguity,Isolation Interference [%],Ion Inject Time [ms],Precursor m/z [Da],Precursor MH+ [Da],Precursor Charge,Spectrum File
FALSE,F114,19.4424,2994,Fourier Transform,NCE 27±3 %,MS2,0,None,7.098042,150,478.50128,1910.9833,4,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,19.4468,2995,Fourier Transform,NCE 27±6 %,MS2,0,None,7.098042,150,478.50128,1910.9833,4,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,19.4499,2996,Fourier Transform,NCE 24±3 %,MS2,0,None,7.098042,150,478.50128,1910.9833,4,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,19.9714,3078,Fourier Transform,NCE 27±3 %,MS2,0,None,34.33466,150,478.50101,1910.9822,4,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,19.9758,3079,Fourier Transform,NCE 27±6 %,MS2,0,None,34.33466,150,478.50101,1910.9822,4,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,19.9789,3080,Fourier Transform,NCE 24±3 %,MS2,0,None,34.33466,150,478.50101,1910.9822,4,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,20.7948,3208,Fourier Transform,NCE 27±3 %,MS2,0,None,56.74733,150,478.50092,1910.98183,4,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,20.7992,3209,Fourier Transform,NCE 27±6 %,MS2,0,None,56.74733,150,478.50092,1910.98183,4,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,20.8023,3210,Fourier Transform,NCE 24±3 %,MS2,0,None,56.74733,150,478.50092,1910.98183,4,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,25.8162,3985,Fourier Transform,NCE 27±3 %,MS2,0,None,0,150,599.98169,1797.93052,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,25.8206,3986,Fourier Transform,NCE 27±6 %,MS2,0,None,0,150,599.98169,1797.93052,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,25.8237,3987,Fourier Transform,NCE 24±3 %,MS2,0,None,0,150,599.98169,1797.93052,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,28.6311,4425,Fourier Transform,NCE 27±3 %,MS2,0,None,0,150,607.63348,1820.8859,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,28.6355,4426,Fourier Transform,NCE 27±6 %,MS2,0,None,0,150,607.63348,1820.8859,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,28.6386,4427,Fourier Transform,NCE 24±3 %,MS2,0,None,0,150,607.63348,1820.8859,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,28.9064,4470,Fourier Transform,NCE 27±3 %,MS2,0,None,0,150,479.50223,1914.98708,4,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,28.9108,4471,Fourier Transform,NCE 27±6 %,MS2,0,None,0,150,479.50223,1914.98708,4,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,28.9139,4472,Fourier Transform,NCE 24±3 %,MS2,0,None,0,150,479.50223,1914.98708,4,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,30.844,4772,Fourier Transform,NCE 27±3 %,MS2,0,None,11.42064,150,597.30304,1789.89457,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,30.8484,4773,Fourier Transform,NCE 27±6 %,MS2,0,None,11.42064,150,597.30304,1789.89457,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,30.8516,4774,Fourier Transform,NCE 24±3 %,MS2,0,None,11.42064,150,597.30304,1789.89457,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,30.8824,4780,Fourier Transform,NCE 27±3 %,MS2,0,None,52.16373,150,545.63483,1634.88993,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,30.8868,4781,Fourier Transform,NCE 27±6 %,MS2,0,None,52.16373,150,545.63483,1634.88993,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,30.89,4782,Fourier Transform,NCE 24±3 %,MS2,0,None,52.16373,150,545.63483,1634.88993,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,30.9013,4785,Fourier Transform,NCE 27±3 %,MS2,0,None,22.35936,150,409.47806,1634.8904,4,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,30.9057,4786,Fourier Transform,NCE 27±6 %,MS2,0,None,22.35936,150,409.47806,1634.8904,4,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,30.909,4787,Fourier Transform,NCE 24±3 %,MS2,0,None,22.35936,150,409.47806,1634.8904,4,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,31.1699,4828,Fourier Transform,NCE 27±3 %,MS2,0,None,7.62214,150,481.9967,1924.96499,4,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,31.1743,4829,Fourier Transform,NCE 27±6 %,MS2,0,None,7.62214,150,481.9967,1924.96499,4,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,31.1775,4830,Fourier Transform,NCE 24±3 %,MS2,0,None,7.62214,150,481.9967,1924.96499,4,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,31.3698,4861,Fourier Transform,NCE 27±3 %,MS2,0,None,6.133193,150,597.30347,1789.89585,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,31.3743,4862,Fourier Transform,NCE 27±6 %,MS2,0,None,6.133193,150,597.30347,1789.89585,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,31.3774,4863,Fourier Transform,NCE 24±3 %,MS2,0,None,6.133193,150,597.30347,1789.89585,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,31.9762,4957,Fourier Transform,NCE 27±3 %,MS2,0,None,35.89293,150,597.30304,1789.89457,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,31.9807,4958,Fourier Transform,NCE 27±6 %,MS2,0,None,35.89293,150,597.30304,1789.89457,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,31.9838,4959,Fourier Transform,NCE 24±3 %,MS2,0,None,35.89293,150,597.30304,1789.89457,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,32.4919,5040,Fourier Transform,NCE 27±3 %,MS2,0,None,10.19497,150,597.30304,1789.89457,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,32.4963,5041,Fourier Transform,NCE 27±6 %,MS2,0,None,10.19497,150,597.30304,1789.89457,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,32.4994,5042,Fourier Transform,NCE 24±3 %,MS2,0,None,10.19497,150,597.30304,1789.89457,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,33.303,5170,Fourier Transform,NCE 27±3 %,MS2,0,None,71.56631,150,597.30316,1789.89493,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,33.3074,5171,Fourier Transform,NCE 27±6 %,MS2,0,None,71.56631,150,597.30316,1789.89493,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
